시군구,id,long,lat
춘천시,42110,127.742799,37.884276
원주시,42130,127.92682,37.311956
강릉시,42150,128.849672,37.719343
동해시,42170,129.0548,37.504529
태백시,42190,128.981168,37.140273
속초시,42210,128.54081,38.181873
삼척시,42230,129.142311,37.278225
홍천군,42720,128.026967,37.759636
횡성군,42730,128.073891,37.513885
영월군,42750,128.499611,37.201695
평창군,42760,128.485878,37.555267
정선군,42770,128.739342,37.37967
철원군,42780,127.354017,38.235145
화천군,42790,127.686028,38.135871
양구군,42800,127.993928,38.210056
인제군,42810,128.259755,38.076707
고성군,42820,128.360615,38.396936
양양군,42830,128.630852,38.010464
